,CWE
377,"CWE-20
"
378,CWE-787
379,CWE-732
380,CWE-787
381,CWE-787
382,CWE-787
383,CWE-787
384,CWE-20
385,"CWE-119
"
386,"CWE-119
"
387,"CWE-119
"
388,"CWE-119
"
389,"CWE-119
"
390,"CWE-200
"
391,"CWE-200
"
392,"CWE-200
"
393,"CWE-264
"
394,CWE-20
395,CWE-787
396,CWE-787
397,CWE-787
398,CWE-290
399,CWE-787
400,CWE-787
401,CWE-787
402,"CWE-254
"
403,CWE-119
404,"CWE-200
"
405,"CWE-200
"
406,"CWE-200
"
407,"CWE-119
"
408,"CWE-119
"
409,"CWE-200
"
410,CWE-20
411,"CWE-200
"
412,CWE-287
413,"CWE-264
"
414,CWE-79
415,"CWE-119
"
416,CWE-787
417,"CWE-264
"
418,"CWE-200
"
419,CWE-19
420,"CWE-264
"
421,"CWE-264
"
422,CWE-19
423,CWE-787
424,CWE-20
425,"CWE-200
"
426,"CWE-254
"
427,CWE-190
428,CWE-787
429,"CWE-254
"
430,CWE-787
431,"CWE-200
"
432,CWE-787
433,CWE-787
434,CWE-79
435,CWE-200
436,"CWE-200
"
437,"CWE-264
"
438,CWE-787
439,CWE-787
440,CWE-787
441,"CWE-20
"
442,CWE-787
443,"CWE-264
"
444,CWE-20
445,"CWE-200
"
446,"CWE-264
"
447,"CWE-200
"
448,"CWE-200
"
449,"CWE-119
"
450,CWE-665
451,"CWE-200
"
452,CWE-787
453,CWE-787
454,CWE-787
455,CWE-79
456,"CWE-200
"
457,CWE-20
458,"CWE-119
"
459,"CWE-119
"
460,"CWE-119
"
461,"CWE-119
"
462,"CWE-119
"
463,"CWE-200
"
464,CWE-863
465,CWE-787
466,CWE-190
467,CWE-276
468,"CWE-264
"
469,"CWE-264
"
470,CWE-327
471,CWE-190
472,CWE-20
473,CWE-190
474,CWE-190
475,CWE-190
476,CWE-20
477,"CWE-264
"
478,CWE-787
479,CWE-787
480,CWE-20
481,"CWE-200
"
482,"CWE-200
"
483,"CWE-200
"
484,CWE-787
485,CWE-416
486,CWE-20
487,CWE-20
488,CWE-20
489,CWE-20
490,CWE-20
491,CWE-20
492,CWE-20
493,"CWE-119
"
494,CWE-20
495,CWE-20
496,CWE-20
497,CWE-20
498,CWE-20
499,CWE-20
500,CWE-20
501,"CWE-264
"
502,CWE-787
503,CWE-787
504,"CWE-264
"
505,"CWE-94
"
506,CWE-330
507,CWE-264
508,CWE-264
509,CWE-863
510,"CWE-254
"
511,"CWE-264
"
512,CWE-269
513,CWE-787
514,CWE-787
515,CWE-532
516,CWE-79
517,CWE-79
518,"CWE-200
"
519,"CWE-119
"
520,CWE-843
521,CWE-787
522,"CWE-119
"
523,"CWE-200
"
524,CWE-611
525,"CWE-284
"
526,"CWE-200
"
527,"CWE-200
"
528,CWE-863
529,CWE-863
530,CWE-787
531,CWE-88
532,CWE-787
533,"CWE-264
"
534,CWE-665
535,CWE-20
536,CWE-787
537,CWE-787
538,CWE-787
539,CWE-787
540,CWE-787
541,"CWE-200
"
542,"CWE-200
"
543,"CWE-200
"
544,CWE-79
545,CWE-79
546,CWE-787
547,CWE-787
548,CWE-665
549,CWE-787
550,CWE-787
551,CWE-787
552,CWE-20
553,"CWE-20
"
554,"CWE-20
"
555,CWE-611
556,CWE-611
557,CWE-611
558,CWE-611
559,"CWE-119
"
560,CWE-611
561,CWE-264
562,"CWE-264
"
563,CWE-79
564,CWE-19
565,"CWE-200
"
566,"CWE-264
"
567,CWE-732
568,CWE-345
569,CWE-787
570,"CWE-264
"
571,CWE-426
572,CWE-787
573,CWE-19
574,CWE-787
575,"CWE-264
"
576,"CWE-200
"
577,CWE-19
578,CWE-706
579,CWE-19
580,"CWE-200
"
581,CWE-400
582,"CWE-200
"
583,"CWE-119
"
584,"CWE-20
"
585,"CWE-20
"
586,"CWE-20
"
587,"CWE-20
"
588,"CWE-20
"
589,"CWE-119
"
590,CWE-787
591,CWE-79
592,CWE-79
593,"CWE-200
"
594,"CWE-200
"
595,CWE-367
596,"CWE-200
"
597,"CWE-200
"
598,"CWE-200
"
599,"CWE-200
"
600,CWE-59
601,CWE-787
602,"CWE-200
"
603,"CWE-20
"
604,"CWE-119
"
605,"CWE-119
"
606,"CWE-200
"
607,"CWE-200
"
608,"CWE-119
"
609,CWE-824
610,"CWE-119
"
611,CWE-116
612,CWE-79
613,"CWE-264
"
614,CWE-787
615,CWE-787
616,CWE-787
617,"CWE-264
"
618,"CWE-119
"
619,"CWE-20
"
620,CWE-79
621,CWE-79
622,CWE-79
623,CWE-79
624,CWE-79
625,CWE-79
626,CWE-79
627,CWE-79
628,"CWE-264
"
629,"CWE-200
"
630,"CWE-119
"
631,"CWE-119
"
632,"CWE-264
"
633,CWE-522
634,"CWE-200
"
635,CWE-787
636,CWE-20
637,CWE-20
638,CWE-22
639,"CWE-119
"
640,"CWE-119
"
641,"CWE-119
"
642,"CWE-119
"
643,"CWE-264
"
644,"CWE-119
"
645,"CWE-119
"
646,"CWE-119
"
647,"CWE-119
"
648,"CWE-119
"
649,"CWE-119
"
650,"CWE-119
"
651,"CWE-119
"
652,"CWE-119
"
653,"CWE-119
"
654,"CWE-119
"
655,"CWE-119
"
656,"CWE-119
"
657,CWE-129
658,"CWE-119
"
659,"CWE-119
"
660,"CWE-119
"
661,CWE-787
662,CWE-787
663,CWE-787
664,CWE-787
665,CWE-787
666,CWE-787
667,CWE-787
668,CWE-787
669,CWE-843
670,"CWE-20
"
671,CWE-787
672,CWE-787
673,CWE-787
674,CWE-787
675,CWE-787
676,CWE-787
677,CWE-20
678,CWE-787
679,"CWE-200
"
680,"CWE-264
"
681,"CWE-200
"
682,CWE-787
683,CWE-59
684,CWE-787
685,"CWE-264
"
686,CWE-787
687,CWE-19
688,"CWE-264
"
689,"CWE-264
"
690,CWE-19
691,CWE-19
692,CWE-19
693,CWE-611
694,CWE-79
695,CWE-79
696,CWE-79
697,"CWE-254
"
698,"CWE-119
"
699,CWE-116
700,CWE-20
701,CWE-79
702,"CWE-264
"
703,"CWE-264
"
704,"CWE-200
"
705,"CWE-264
"
706,CWE-79
707,CWE-20
708,CWE-20
709,"CWE-200
"
710,CWE-116
711,"CWE-254
"
712,CWE-20
713,"CWE-119
"
714,"CWE-254
"
715,"CWE-284
"
716,CWE-200
717,CWE-79
718,CWE-19
719,CWE-19
720,CWE-19
721,"CWE-264
"
722,"CWE-264
"
723,CWE-787
724,CWE-59
725,CWE-843
726,CWE-787
727,CWE-200
728,CWE-787
729,CWE-787
730,CWE-787
731,"CWE-254
"
732,CWE-352
733,"CWE-264
"
734,"CWE-264
"
735,CWE-269
736,CWE-787
737,CWE-787
738,CWE-787
739,CWE-787
740,CWE-787
741,CWE-295
742,CWE-269
743,"CWE-254
"
744,CWE-200
745,CWE-200
746,CWE-200
747,CWE-200
748,CWE-200
749,"CWE-264
"
750,CWE-200
751,CWE-200
752,"CWE-264
"
753,"CWE-264
"
754,CWE-200
755,"CWE-264
"
756,"CWE-264
"
757,CWE-200
758,CWE-787
759,"CWE-119
"
760,"CWE-264
"
761,"CWE-264
"
762,"CWE-264
"
763,"CWE-20
"
764,CWE-200
765,CWE-79
766,CWE-79
767,CWE-79
768,"CWE-119
"
769,"CWE-119
"
770,CWE-79
771,"CWE-264
"
772,CWE-787
773,CWE-665
774,"CWE-254
"
775,"CWE-264
"
776,"CWE-119
"
777,"CWE-254
"
778,"CWE-264
"
779,CWE-200
780,CWE-200
781,CWE-200
782,CWE-200
783,CWE-200
784,CWE-787
785,CWE-787
786,CWE-59
787,"CWE-254
"
788,CWE-787
789,CWE-787
790,CWE-611
791,CWE-787
792,CWE-611
793,CWE-787
794,CWE-787
795,CWE-59
796,CWE-367
797,"CWE-264
"
798,"CWE-20
"
799,CWE-59
800,CWE-79
801,CWE-200
802,CWE-20
803,CWE-200
804,CWE-59
805,CWE-601
806,CWE-79
807,"CWE-264
"
808,CWE-200
809,CWE-20
810,CWE-787
811,CWE-200
812,"CWE-264
"
813,CWE-19
814,CWE-200
815,"CWE-264
"
816,"CWE-264
"
817,"CWE-264
"
818,"CWE-264
"
819,"CWE-264
"
820,"CWE-264
"
821,CWE-200
822,CWE-787
823,CWE-200
824,CWE-200
825,CWE-200
826,CWE-200
827,CWE-200
828,CWE-200
829,CWE-200
830,CWE-200
831,CWE-200
832,"CWE-119
"
833,CWE-787
834,CWE-787
835,CWE-79
836,CWE-787
837,CWE-787
838,CWE-200
839,CWE-20
840,"CWE-20
"
841,"CWE-20
"
842,CWE-200
843,CWE-20
844,CWE-200
845,"CWE-119
"
846,"CWE-119
"
847,"CWE-119
"
848,"CWE-119
"
849,"CWE-119
"
850,"CWE-119
"
851,"CWE-119
"
852,"CWE-119
"
853,"CWE-200
"
854,CWE-307
855,"CWE-119
"
856,"CWE-119
"
857,CWE-59
858,CWE-59
859,CWE-787
860,"CWE-264
"
861,CWE-787
862,CWE-79
863,"CWE-264
"
864,CWE-79
865,CWE-787
866,CWE-787
867,CWE-787
868,CWE-787
869,CWE-22
870,CWE-200
871,CWE-415
872,CWE-119
873,"CWE-119
"
874,"CWE-119
"
875,CWE-125
876,CWE-787
877,CWE-787
878,CWE-787
879,CWE-787
880,CWE-125
881,CWE-200
882,"CWE-119
"
883,"CWE-119
"
884,"CWE-119
"
885,CWE-200
886,"CWE-264
"
887,"CWE-264
"
888,"CWE-264
"
889,CWE-354
890,"CWE-264
"
891,CWE-354
892,"CWE-254
"
893,"CWE-264
"
894,"CWE-264
"
895,CWE-862
896,CWE-200
897,CWE-200
898,"CWE-264
"
899,"CWE-264
"
900,"CWE-264
"
901,"CWE-264
"
902,"CWE-264
"
903,"CWE-264
"
904,"CWE-264
"
905,"CWE-264
"
906,"CWE-284
"
907,"CWE-284
"
908,"CWE-119
"
909,"CWE-264
"
910,"CWE-264
"
911,"CWE-264
"
912,CWE-611
913,CWE-59
914,"CWE-264
"
915,CWE-863
916,CWE-787
917,CWE-787
918,CWE-787
919,CWE-787
920,CWE-787
921,"CWE-264
"
922,CWE-787
923,"CWE-119
"
924,"CWE-119
"
925,CWE-200
926,CWE-79
927,CWE-20
928,"CWE-119
"
929,CWE-787
930,CWE-416
931,CWE-200
932,"CWE-264
"
933,CWE-787
934,CWE-787
935,"CWE-269
"
936,"CWE-269
"
937,CWE-200
938,CWE-787
939,CWE-79
940,CWE-200
941,CWE-425
942,CWE-787
943,"CWE-284
"
944,"CWE-20
"
945,CWE-200
946,CWE-200
947,"CWE-284
"
948,CWE-200
949,CWE-200
950,"CWE-264
"
951,CWE-20
952,CWE-295
953,"CWE-269
"
954,"CWE-119
"
955,CWE-290
956,CWE-346
957,CWE-787
958,CWE-787
959,"CWE-119
"
960,"CWE-119
"
961,"CWE-119
"
962,"CWE-119
"
963,"CWE-119
"
964,"CWE-119
"
965,CWE-200
966,CWE-200
967,"CWE-119
"
968,"CWE-119
"
969,"CWE-119
"
970,"CWE-119
"
971,"CWE-119
"
972,CWE-200
973,CWE-200
974,CWE-59
975,CWE-908
976,"CWE-20
"
977,"CWE-269
"
978,CWE-20
979,"CWE-264
"
980,CWE-352
981,"CWE-269
"
982,CWE-352
983,CWE-79
984,CWE-200
985,CWE-20
986,"CWE-20
"
987,CWE-79
988,CWE-59
989,"CWE-269
"
990,"CWE-269
"
991,CWE-59
992,CWE-787
993,"CWE-269
"
994,CWE-79
995,CWE-665
996,"CWE-269
"
997,"CWE-269
"
998,CWE-59
999,"CWE-200
"
1000,CWE-200
1001,"CWE-119
"
1002,"CWE-269
"
1003,CWE-200
1004,"CWE-20
"
1005,CWE-863
1006,"CWE-20
"
1007,"CWE-20
"
1008,"CWE-119
"
1009,CWE-200
1010,"CWE-20
"
1011,CWE-20
1012,CWE-20
1013,"CWE-119
"
1014,CWE-787
1015,CWE-665
1016,CWE-787
1017,"CWE-20
"
1018,CWE-20
1019,"CWE-269
"
1020,CWE-79
1021,CWE-20
1022,CWE-787
1023,CWE-787
1024,CWE-20
1025,CWE-20
1026,"CWE-119
"
1027,CWE-755
1028,"CWE-287
"
1029,CWE-59
1030,"CWE-269
"
1031,CWE-59
1032,CWE-290
1033,"CWE-269
"
1034,"CWE-287
"
1035,"CWE-269
"
1036,"CWE-287
"
1037,"CWE-269
"
1038,CWE-200
1039,"CWE-119
"
1040,"CWE-20
"
1041,"CWE-119
"
1042,CWE-79
1043,CWE-79
1044,"CWE-269
"
1045,"CWE-119
"
1046,CWE-79
1047,"CWE-20
"
1048,CWE-200
1049,CWE-787
1050,"CWE-269
"
1051,CWE-200
1052,"CWE-326
"
1053,CWE-59
1054,"CWE-269
"
1055,"CWE-269
"
1056,CWE-755
1057,"CWE-119
"
1058,CWE-125
1059,CWE-125
1060,CWE-125
1061,CWE-125
1062,"CWE-20
"
1063,CWE-20
1064,CWE-20
1065,CWE-706
1066,CWE-20
1067,CWE-20
1068,CWE-200
1069,CWE-290
1070,"CWE-119
"
1071,"CWE-119
"
1072,CWE-125
1073,"CWE-119
"
1074,CWE-200
1075,"CWE-119
"
1076,"CWE-119
"
1077,CWE-787
1078,CWE-787
1079,"CWE-20
"
1080,CWE-200
1081,CWE-200
1082,CWE-787
1083,"CWE-119
"
1084,CWE-502
1085,CWE-200
1086,CWE-79
1087,CWE-755
1088,CWE-732
1089,"CWE-269
"
1090,CWE-367
1091,CWE-200
1092,"CWE-269
"
1093,"CWE-269
"
1094,CWE-522
1095,CWE-59
1096,"CWE-20
"
1097,CWE-269
1098,CWE-20
1099,"CWE-119
"
1100,"CWE-20
"
1101,"CWE-269
"
1102,CWE-787
1103,CWE-787
1104,CWE-787
1105,CWE-787
1106,CWE-20
1107,CWE-20
1108,CWE-20
1109,CWE-200
1110,CWE-200
1111,"CWE-269
"
1112,"CWE-119
"
1113,"CWE-269
"
1114,CWE-787
1115,CWE-665
1116,CWE-125
1117,CWE-125
1118,CWE-346
1119,"CWE-269
"
1120,"CWE-269
"
1121,CWE-362
1122,"CWE-269
"
1123,CWE-200
1124,"CWE-119
"
1125,"CWE-269
"
1126,CWE-59
1127,CWE-59
1128,"CWE-20
"
1129,CWE-59
1130,CWE-787
1131,CWE-787
1132,CWE-787
1133,CWE-416
1134,"CWE-119
"
1135,CWE-125
1136,"CWE-269
"
1137,"CWE-269
"
1138,"CWE-269
"
1139,CWE-200
1140,"CWE-269
"
1141,"CWE-269
"
1142,CWE-200
1143,CWE-200
1144,CWE-119
1145,CWE-346
1146,CWE-434
1147,CWE-346
1148,CWE-200
1149,CWE-346
1150,"CWE-119
"
1151,"CWE-269
"
1152,"CWE-20
"
1153,CWE-269
1154,CWE-787
1155,CWE-732
1156,"CWE-269
"
1157,"CWE-20
"
1158,"CWE-20
"
1159,CWE-908
1160,CWE-200
1161,CWE-200
1162,CWE-125
1163,CWE-125
1164,CWE-200
1165,CWE-787
1166,CWE-200
1167,CWE-200
1168,CWE-20
1169,CWE-200
1170,CWE-200
1171,"CWE-269
"
1172,"CWE-269
"
1173,"CWE-269
"
1174,CWE-125
1175,CWE-125
1176,CWE-59
1177,CWE-20
1178,CWE-787
1179,CWE-601
1180,CWE-200
1181,"CWE-119
"
1182,CWE-200
1183,CWE-74
1184,CWE-327
1185,"CWE-311
"
1186,CWE-330
1187,CWE-190
1188,CWE-295
1189,CWE-203
1190,CWE-327
1191,CWE-79
1192,CWE-79
1193,CWE-79
1194,CWE-79
1195,CWE-79
1196,CWE-79
1197,CWE-79
1198,"CWE-287
"
1199,CWE-311
1200,CWE-79
1201,CWE-200
1202,CWE-78
1203,CWE-94
1204,CWE-79
1205,CWE-134
1206,CWE-787
1207,CWE-20
1208,CWE-787
1209,CWE-79
1210,CWE-77
1211,CWE-16
1212,CWE-459
1213,CWE-20
1214,CWE-269
1215,CWE-311
1216,CWE-295
1217,CWE-78
1218,CWE-20
1219,CWE-264
1220,CWE-20
1221,CWE-913
1222,CWE-732
1223,CWE-20
1224,CWE-20
1225,CWE-770
1226,CWE-732
1227,CWE-732
1228,CWE-264
1229,CWE-863
1230,CWE-863
1231,CWE-119
1232,CWE-88
1233,CWE-88
1234,CWE-88
1235,CWE-88
1236,CWE-88
1237,CWE-88
1238,CWE-78
1239,CWE-88
1240,CWE-78
1241,CWE-347
1242,CWE-119
1243,CWE-913
1244,CWE-732
1245,CWE-798
1246,CWE-22
1247,CWE-22
1248,CWE-532
1249,CWE-78
1250,CWE-77
1251,CWE-264
1252,CWE-863
1253,CWE-312
1254,CWE-191
1255,CWE-306
1256,CWE-119
1257,CWE-306
1258,CWE-352
1259,CWE-78
1260,CWE-755
1261,CWE-78
1262,CWE-119
1263,CWE-119
1264,CWE-119
1265,CWE-119
1266,CWE-119
1267,CWE-79
1268,CWE-79
1269,CWE-770
